t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_SO2(bar),p_NH3(bar),p_N2(bar),p_H2S(bar),p_S2(bar)
1.6654000000e+04,3.2880125627e+03,3.6478785920e+03,6.9497110000e+04,6.4001764560e+04,3.1049549622e+02,1.0000000000e+00,5.6375354292e+01,5.6375354292e+01,1.0000000000e-02,0.0000000000e+00,1.1208311699e+20,4.3182511483e+20,0.0000000000e+00,1.5873797731e+21,1.2617495773e+19,1.2428377573e+21,3.6188578406e+02,4.3857104005e+01,2.0179373394e+02,5.8418436372e+01,1.4411554434e+00,7.6755432248e-10,5.6375354292e+01,3.6238507779e-02,6.7433850214e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.7219000000e+04,3.2657101345e+03,3.6038017964e+03,6.3795830000e+04,5.9955482537e+04,3.1049574786e+02,1.0000000000e+00,4.7555673500e+01,4.7555673500e+01,1.0000000000e-02,0.0000000000e+00,1.1278072174e+20,4.3112445371e+20,0.0000000000e+00,1.5874429834e+21,1.2554196136e+19,1.2232578622e+21,3.5383160245e+02,4.3860596902e+01,2.0353717702e+02,5.7458555885e+01,1.4195991431e+00,7.8665202998e-10,4.7555673500e+01,3.6406702776e-02,6.7359826008e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.7671000000e+04,3.2485953618e+03,3.5708065138e+03,5.9749550000e+04,5.6972376264e+04,3.1049594918e+02,1.0000000000e+00,4.1717239600e+01,4.1717239600e+01,1.0000000000e-02,0.0000000000e+00,1.1329236259e+20,4.3061037640e+20,0.0000000000e+00,1.5874883929e+21,1.2508715767e+19,1.2104587532e+21,3.4853682577e+02,4.3863106237e+01,2.0483176745e+02,5.6721336025e+01,1.4033764570e+00,8.0174071331e-10,4.1717239600e+01,3.6528007646e-02,6.7306065627e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8033000000e+04,3.2353054029e+03,3.5457431595e+03,5.6766450000e+04,5.4741332563e+04,3.1049611041e+02,1.0000000000e+00,3.7687051480e+01,3.7687051480e+01,1.0000000000e-02,0.0000000000e+00,1.1367443385e+20,4.3022635898e+20,0.0000000000e+00,1.5875217496e+21,1.2475302468e+19,1.2017164872e+21,3.4490186315e+02,4.3864949585e+01,2.0580788158e+02,5.6150969711e+01,1.3910107888e+00,8.1368165881e-10,3.7687051480e+01,3.6617328868e-02,6.7265232461e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8322000000e+04,3.2248309641e+03,3.5264364219e+03,5.4535400000e+04,5.3069351801e+04,3.1049623912e+02,1.0000000000e+00,3.4808244235e+01,3.4808244235e+01,1.0000000000e-02,0.0000000000e+00,1.1396453694e+20,4.2993470528e+20,0.0000000000e+00,1.5875467504e+21,1.2450256740e+19,1.1955264375e+21,3.4231662697e+02,4.3866331192e+01,2.0655464047e+02,5.5705942585e+01,1.3814684836e+00,8.2316944333e-10,3.4808244235e+01,3.6684374379e-02,6.7236945697e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8554000000e+04,3.2166634862e+03,3.5115683253e+03,5.2863420000e+04,5.1790305374e+04,3.1049634245e+02,1.0000000000e+00,3.2715322985e+01,3.2715322985e+01,1.0000000000e-02,0.0000000000e+00,1.1418574488e+20,4.2971225430e+20,0.0000000000e+00,1.5875656198e+21,1.2431351350e+19,1.1910587157e+21,3.4044361357e+02,4.3867373979e+01,2.0712742009e+02,5.5359397269e+01,1.3740992428e+00,8.3066596004e-10,3.2715322985e+01,3.6735026424e-02,6.7213197220e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8925000000e+04,3.2037590910e+03,3.4882249391e+03,5.1584380000e+04,4.9793660282e+04,3.1049650769e+02,1.0000000000e+00,2.9643938962e+01,2.9643938962e+01,1.0000000000e-02,0.0000000000e+00,1.1452835030e+20,4.2936766336e+20,0.0000000000e+00,1.5875945073e+21,1.2402406439e+19,1.1845587270e+21,3.3770585654e+02,4.3868970422e+01,2.0802045698e+02,5.4809969507e+01,1.3625206691e+00,8.4275470996e-10,2.9643938962e+01,3.6812634970e-02,6.7179235239e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9518000000e+04,3.1833679526e+03,3.4524044800e+03,4.9587730000e+04,4.6830127180e+04,3.1049677180e+02,1.0000000000e+00,2.5401754337e+01,2.5401754337e+01,1.0000000000e-02,0.0000000000e+00,1.1504355115e+20,4.2884929425e+20,0.0000000000e+00,1.5876371594e+21,1.2359662833e+19,1.1757117913e+21,3.3394878371e+02,4.3871327609e+01,2.0937744141e+02,5.3953547118e+01,1.3447132357e+00,8.6212612256e-10,2.5401754337e+01,3.6927326648e-02,6.7137638167e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9993000000e+04,3.1679844897e+03,3.4255171895e+03,4.6624200000e+04,4.4608770076e+04,3.1049698336e+02,1.0000000000e+00,2.2564445491e+01,2.2564445491e+01,1.0000000000e-02,0.0000000000e+00,1.1542176990e+20,4.2846854308e+20,0.0000000000e+00,1.5876678566e+21,1.2328892572e+19,1.1698986200e+21,3.3145440570e+02,4.3873024146e+01,2.1038482175e+02,5.3300791470e+01,1.3313228467e+00,8.7735424687e-10,2.2564445491e+01,3.7009915258e-02,6.7119449765e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0373000000e+04,3.1678281121e+03,3.4049968575e+03,4.4402840000e+04,4.4743649700e+04,3.1049715261e+02,1.0000000000e+00,2.0584161689e+01,2.0584161689e+01,1.0000000000e-02,0.0000000000e+00,1.1570551627e+20,4.2818277281e+20,0.0000000000e+00,1.5876905405e+21,1.2306150480e+19,1.1659020683e+21,3.2972383460e+02,4.3874277830e+01,2.1114701582e+02,5.2797285623e+01,1.3210936426e+00,8.8939403942e-10,2.0584161689e+01,3.7070948502e-02,6.7128400439e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
