t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_S2(bar),p_N2(bar),p_SO2(bar),p_H2S(bar),p_NH3(bar)
5.8250000000e+03,2.8525644992e+03,3.5576577162e+03,1.3888830000e+05,1.3480291813e+05,5.9400570962e+02,1.0000000000e+00,4.0405469269e+01,4.0405469269e+01,1.0000000000e-02,0.0000000000e+00,5.3554955703e+19,2.1938004069e+20,0.0000000000e+00,1.5982928029e+20,1.7066677157e+17,6.0144897601e+20,1.9087144131e+02,6.7271459565e-01,1.1741063562e+02,3.2361158915e+01,2.1462904570e-02,1.0843177448e-13,4.0405469269e+01,3.8658350898e-02,6.2516806356e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.9690000000e+03,2.8436012812e+03,3.5310212524e+03,1.3442000000e+05,1.3138190179e+05,5.9400583234e+02,1.0000000000e+00,3.6231652352e+01,3.6231652352e+01,1.0000000000e-02,0.0000000000e+00,5.3845202318e+19,2.1908829798e+20,0.0000000000e+00,1.5983015448e+20,1.6979141880e+17,5.9304667756e+20,1.8722696461e+02,6.7272195452e-01,1.1822932878e+02,3.2072001777e+01,2.1259748467e-02,1.1036967131e-13,3.6231652352e+01,3.8846692406e-02,6.2479682873e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.2000000000e+03,2.8296940378e+03,3.4897123730e+03,1.3099900000e+05,1.2603264710e+05,5.9400602917e+02,1.0000000000e+00,3.0473673467e+01,3.0473673467e+01,1.0000000000e-02,0.0000000000e+00,5.4281514872e+19,2.1864959005e+20,0.0000000000e+00,1.5983143928e+20,1.6850476369e+17,5.8161045634e+20,1.8224665942e+02,6.7273276995e-01,1.1947396995e+02,3.1605339240e+01,2.0943990750e-02,1.1350274103e-13,3.0473673467e+01,3.9126114901e-02,6.2426706751e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.5690000000e+03,2.8074169085e+03,3.4263154552e+03,1.2564980000e+05,1.1801358222e+05,5.9400634358e+02,1.0000000000e+00,2.3138671689e+01,2.3138671689e+01,1.0000000000e-02,0.0000000000e+00,5.4915655512e+19,2.1801163348e+20,0.0000000000e+00,1.5983323895e+20,1.6670214506e+17,5.6736972979e+20,1.7599592375e+02,6.7274791977e-01,1.2131766147e+02,3.0846384765e+01,2.0457910370e-02,1.1863743475e-13,2.3138671689e+01,3.9522352043e-02,6.2352971220e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.8650000000e+03,2.7899986628e+03,3.3790428009e+03,1.1763070000e+05,1.1213017517e+05,5.9400659580e+02,1.0000000000e+00,1.8696323729e+01,1.8696323729e+01,1.0000000000e-02,0.0000000000e+00,5.5358939431e+19,2.1756530036e+20,0.0000000000e+00,1.5983444527e+20,1.6549349892e+17,5.5898398701e+20,1.7227281282e+02,6.7275807472e-01,1.2263526069e+02,3.0248375640e+01,2.0094683920e-02,1.2274806844e-13,1.8696323729e+01,3.9790718042e-02,6.2302405403e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.1010000000e+03,2.7787487248e+03,3.3430739598e+03,1.1174730000e+05,1.0848436205e+05,5.9400679688e+02,1.0000000000e+00,1.5823695132e+01,1.5823695132e+01,1.0000000000e-02,0.0000000000e+00,5.5679169952e+19,2.1724264524e+20,0.0000000000e+00,1.5983528821e+20,1.6464871435e+17,5.5369274482e+20,1.6989674770e+02,6.7276517076e-01,1.2360417261e+02,2.9776296747e+01,1.9818046062e-02,1.2605423325e-13,1.5823695132e+01,3.9979318171e-02,6.2272779205e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.2900000000e+03,2.7662222536e+03,3.3154116987e+03,1.0810150000e+05,1.0438559023e+05,5.9400695793e+02,1.0000000000e+00,1.3879441590e+01,1.3879441590e+01,1.0000000000e-02,0.0000000000e+00,5.5915667117e+19,2.1700420949e+20,0.0000000000e+00,1.5983589460e+20,1.6404085656e+17,5.5018725187e+20,1.6830553790e+02,6.7277027549e-01,1.2432990747e+02,2.9403813408e+01,1.9605154372e-02,1.2871152137e-13,1.3879441590e+01,4.0115423673e-02,6.2253643641e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.4410000000e+03,2.7648061694e+03,3.2941443264e+03,1.0400270000e+05,1.0459449503e+05,5.9400708659e+02,1.0000000000e+00,1.2527542458e+01,1.2527542458e+01,1.0000000000e-02,0.0000000000e+00,5.6091854149e+19,2.1682647528e+20,0.0000000000e+00,1.5983633713e+20,1.6359715879e+17,5.4779416845e+20,1.6720857728e+02,6.7277400082e-01,1.2487660169e+02,2.9112217694e+01,1.9441428629e-02,1.3082687586e-13,1.2527542458e+01,4.0214926784e-02,6.2213660056e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.6830000000e+03,2.7647759623e+03,3.2601261529e+03,1.0421160000e+05,1.0516980969e+05,5.9400729277e+02,1.0000000000e+00,1.0600631601e+01,1.0600631601e+01,1.0000000000e-02,0.0000000000e+00,5.6363845399e+19,2.1655200208e+20,0.0000000000e+00,1.5983700441e+20,1.6292800496e+17,5.4446132432e+20,1.6566094318e+02,6.7277961819e-01,1.2573131953e+02,2.8637032923e+01,1.9179512841e-02,1.3435019802e-13,1.0600631601e+01,4.0365140530e-02,6.2230587874e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.0700000000e+03,2.7398164215e+03,3.2054986521e+03,1.0478700000e+05,9.7190829222e+04,5.9400762254e+02,1.0000000000e+00,8.0404350597e+00,8.0404350597e+00,1.0000000000e-02,0.0000000000e+00,5.6776862111e+19,2.1613501224e+20,0.0000000000e+00,1.5983797979e+20,1.6194963766e+17,5.4022416709e+20,1.6364147911e+02,6.7278782926e-01,1.2705601161e+02,2.7853485694e+01,1.8758912499e-02,1.4040337931e-13,8.0404350597e+00,4.0584791826e-02,6.2211662522e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
