t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_H2S(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_N2(bar)
1.0197000000e+04,3.0813383549e+03,3.5987383378e+03,1.0189780000e+05,9.7051694394e+04,5.9400943491e+02,1.0000000000e+00,4.7614139269e+01,4.7614139269e+01,1.0000000000e-02,0.0000000000e+00,5.2459309700e+19,2.2042967119e+20,0.0000000000e+00,4.6849828607e+20,1.5009285906e+18,6.2915838644e+20,2.0069351856e+02,5.7808246351e+00,1.1472008045e+02,3.2391350750e+01,1.8712346096e-01,7.7012004657e-12,4.7614139269e+01,3.7790147707e-02,6.3006650676e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0460000000e+04,3.0670702808e+03,3.5638900418e+03,9.6660980000e+04,9.3134599507e+04,5.9400965898e+02,1.0000000000e+00,4.1436734793e+01,4.1436734793e+01,1.0000000000e-02,0.0000000000e+00,5.2826883197e+19,2.2005930935e+20,0.0000000000e+00,4.6850805543e+20,1.4911402467e+18,6.1639069527e+20,1.9518069749e+02,5.7810657268e+00,1.1575518184e+02,3.2022862576e+01,1.8485256354e-01,7.8755052777e-12,4.1436734793e+01,3.8025277415e-02,6.2943310604e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0671000000e+04,3.0558045550e+03,3.5371743677e+03,9.2743890000e+04,9.0152401374e+04,5.9400983877e+02,1.0000000000e+00,3.7162314929e+01,3.7162314929e+01,1.0000000000e-02,0.0000000000e+00,5.3102645618e+19,2.1978131707e+20,0.0000000000e+00,4.6851524989e+20,1.4839306786e+18,6.0765003624e+20,1.9139608926e+02,5.7812432775e+00,1.1653887804e+02,3.1730546801e+01,1.8310621612e-01,8.0144372724e-12,3.7162314929e+01,3.8199972730e-02,6.2897583109e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0839000000e+04,3.0467252069e+03,3.5164224885e+03,8.9761690000e+04,8.7894294452e+04,5.9400998193e+02,1.0000000000e+00,3.4101449975e+01,3.4101449975e+01,1.0000000000e-02,0.0000000000e+00,5.3312729806e+19,2.1956946165e+20,0.0000000000e+00,4.6852064914e+20,1.4785194665e+18,6.0144518912e+20,1.8870265188e+02,5.7813765264e+00,1.1714044619e+02,3.1497631851e+01,1.8174733311e-01,8.1256028351e-12,3.4101449975e+01,3.8331901691e-02,6.2861907411e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1108000000e+04,3.0324966858e+03,3.4842612700e+03,8.7503590000e+04,8.4417871660e+04,5.9401021113e+02,1.0000000000e+00,2.9774154292e+01,2.9774154292e+01,1.0000000000e-02,0.0000000000e+00,5.3630763385e+19,2.1924859717e+20,0.0000000000e+00,4.6852868147e+20,1.4704680739e+18,5.9276182622e+20,1.8492104047e+02,5.7815747603e+00,1.1805928259e+02,3.1126391983e+01,1.7963684226e-01,8.3037953976e-12,2.9774154292e+01,3.8529424374e-02,6.2812630566e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1539000000e+04,3.0102301943e+03,3.4348645992e+03,8.4027170000e+04,7.9139999258e+04,5.9401057840e+02,1.0000000000e+00,2.4030868987e+01,2.4030868987e+01,1.0000000000e-02,0.0000000000e+00,5.4099814679e+19,2.1877502171e+20,0.0000000000e+00,4.6854019824e+20,1.4589209604e+18,5.8143058617e+20,1.7995615890e+02,5.7818589942e+00,1.1943449453e+02,3.0532548480e+01,1.7638790658e-01,8.5921367610e-12,2.4030868987e+01,3.8815064693e-02,6.2735730746e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1883000000e+04,2.9926805620e+03,3.3978539546e+03,7.8749310000e+04,7.5341715849e+04,5.9401087148e+02,1.0000000000e+00,2.0368556674e+01,2.0368556674e+01,1.0000000000e-02,0.0000000000e+00,5.4435129427e+19,2.1843611048e+20,0.0000000000e+00,4.6854817397e+20,1.4509212418e+18,5.7435034416e+20,1.7682819689e+02,5.7820558396e+00,1.2043420346e+02,3.0069432031e+01,1.7394889042e-01,8.8207030612e-12,2.0368556674e+01,3.9014386091e-02,6.2685426950e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2159000000e+04,2.9792411835e+03,3.3697812247e+03,7.4951030000e+04,7.2469098790e+04,5.9401110665e+02,1.0000000000e+00,1.7917606533e+01,1.7917606533e+01,1.0000000000e-02,0.0000000000e+00,5.4680095263e+19,2.1818826675e+20,0.0000000000e+00,4.6855385671e+20,1.4452193880e+18,5.6969255697e+20,1.7475450396e+02,5.7821960945e+00,1.2117433507e+02,2.9708269411e+01,1.7209685563e-01,9.0017984206e-12,1.7917606533e+01,3.9157053221e-02,6.2649060784e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2379000000e+04,2.9688502045e+03,3.3481947347e+03,7.2078420000e+04,7.0272712808e+04,5.9401129413e+02,1.0000000000e+00,1.6208015788e+01,1.6208015788e+01,1.0000000000e-02,0.0000000000e+00,5.4863031172e+19,2.1800304131e+20,0.0000000000e+00,4.6855801791e+20,1.4410430270e+18,5.6649018776e+20,1.7331882655e+02,5.7822987976e+00,1.2173288300e+02,2.9424957487e+01,1.7067147500e-01,9.1459122940e-12,1.6208015788e+01,3.9261812798e-02,6.2621260737e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2555000000e+04,2.9606834408e+03,3.3315061208e+03,6.9882040000e+04,6.8644088113e+04,5.9401144408e+02,1.0000000000e+00,1.4984026473e+01,1.4984026473e+01,1.0000000000e-02,0.0000000000e+00,5.5001209173e+19,2.1786303442e+20,0.0000000000e+00,4.6856111282e+20,1.4379360238e+18,5.6422489683e+20,1.7229704936e+02,5.7823751842e+00,1.2215827429e+02,2.9202804164e+01,1.6956925382e-01,9.2603317899e-12,1.4984026473e+01,3.9339866954e-02,6.2603018472e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
