t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_SO2(bar),p_NH3(bar),p_N2(bar),p_H2S(bar),p_S2(bar)
6.9520000000e+03,2.7998263685e+03,3.5592736287e+03,1.4906290000e+05,1.4444659677e+05,3.1049117510e+02,1.0000000000e+00,3.9821264117e+01,3.9821264117e+01,1.0000000000e-02,0.0000000000e+00,2.9497180598e+19,1.0646414168e+20,0.0000000000e+00,1.5987562523e+20,1.2432722873e+17,3.3963516414e+20,1.0621890778e+02,4.4460107601e-01,5.1715267324e+01,1.4223608387e+01,1.4166877414e-02,2.0891281888e-14,3.9821264117e+01,3.7250156969e-02,6.6196129506e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.1120000000e+03,2.7906992741e+03,3.5311206889e+03,1.4424770000e+05,1.4079679984e+05,3.1049124636e+02,1.0000000000e+00,3.5487873091e+01,3.5487873091e+01,1.0000000000e-02,0.0000000000e+00,2.9703277698e+19,1.0625720613e+20,0.0000000000e+00,1.5987653231e+20,1.2341916839e+17,3.2968269903e+20,1.0222169976e+02,4.4460612107e-01,5.2166663630e+01,1.4108531539e+01,1.4025376596e-02,2.1315491767e-14,3.5487873091e+01,3.7513064957e-02,6.6149631501e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.3680000000e+03,2.7759229522e+03,3.4872674237e+03,1.4059790000e+05,1.3512505664e+05,3.1049136038e+02,1.0000000000e+00,2.9522156350e+01,2.9522156350e+01,1.0000000000e-02,0.0000000000e+00,3.0021551524e+19,1.0593759380e+20,0.0000000000e+00,1.5987790733e+20,1.2204259869e+17,3.1612348864e+20,9.6770623485e+01,4.4461376875e-01,5.2868383815e+01,1.3921665233e+01,1.3804317512e-02,2.2010320883e-14,2.9522156350e+01,3.7918538015e-02,6.6083000609e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.7780000000e+03,2.7525876544e+03,3.4200704244e+03,1.3492620000e+05,1.2657386659e+05,3.1049154299e+02,1.0000000000e+00,2.2022680767e+01,2.2022680767e+01,1.0000000000e-02,0.0000000000e+00,3.0494738149e+19,1.0546227037e+20,0.0000000000e+00,1.5987988776e+20,1.2005970659e+17,2.9937064785e+20,9.0020803140e+01,4.4462478381e-01,5.3925436339e+01,1.3614596817e+01,1.3464434105e-02,2.3157122619e-14,2.2022680767e+01,3.8517144190e-02,6.5982390093e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.1060000000e+03,2.7342528760e+03,3.3697992273e+03,1.2637500000e+05,1.2032496202e+05,3.1049168907e+02,1.0000000000e+00,1.7528641468e+01,1.7528641468e+01,1.0000000000e-02,0.0000000000e+00,3.0831112570e+19,1.0512419488e+20,0.0000000000e+00,1.5988124388e+20,1.1870165069e+17,2.8953491102e+20,8.6043478600e+01,4.4463232656e-01,5.4690225812e+01,1.3366769472e+01,1.3209521612e-02,2.4082860205e-14,1.7528641468e+01,3.8936778341e-02,6.5919547493e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.3680000000e+03,2.7199297773e+03,3.3317065073e+03,1.2012610000e+05,1.1564879251e+05,3.1049180576e+02,1.0000000000e+00,1.4666633214e+01,1.4666633214e+01,1.0000000000e-02,0.0000000000e+00,3.1073494941e+19,1.0488045792e+20,0.0000000000e+00,1.5988219153e+20,1.1775247258e+17,2.8337513112e+20,8.3542679094e+01,4.4463759742e-01,5.5250167266e+01,1.3168224929e+01,1.3016087788e-02,2.4825633661e-14,1.4666633214e+01,3.9234508434e-02,6.5875211457e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.5780000000e+03,2.7086060344e+03,3.3025118615e+03,1.1545000000e+05,1.1219262622e+05,3.1049189929e+02,1.0000000000e+00,1.2753321214e+01,1.2753321214e+01,1.0000000000e-02,0.0000000000e+00,3.1251221447e+19,1.0470164803e+20,0.0000000000e+00,1.5988286938e+20,1.1707340467e+17,2.7931328610e+20,8.1887050034e+01,4.4464136769e-01,5.5666377175e+01,1.3009842530e+01,1.2867747709e-02,2.5420506543e-14,1.2753321214e+01,3.9449616899e-02,6.5844494808e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.7460000000e+03,2.6998129833e+03,3.2798308840e+03,1.1199380000e+05,1.0943571914e+05,3.1049197412e+02,1.0000000000e+00,1.1418837426e+01,1.1418837426e+01,1.0000000000e-02,0.0000000000e+00,3.1384289789e+19,1.0456771432e+20,0.0000000000e+00,1.5988336689e+20,1.1657492227e+17,2.7651202236e+20,8.0740953059e+01,4.4464413491e-01,5.5981556569e+01,1.2883162456e+01,1.2752471865e-02,2.5898888850e-14,1.1418837426e+01,3.9608563421e-02,6.5818377605e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.0150000000e+03,2.6854927540e+03,3.2445584929e+03,1.0923690000e+05,1.0523488489e+05,3.1049209393e+02,1.0000000000e+00,9.5822726801e+00,9.5822726801e+00,1.0000000000e-02,0.0000000000e+00,3.1582445993e+19,1.0436817429e+20,0.0000000000e+00,1.5988409092e+20,1.1584935171e+17,2.7270798920e+20,7.9176774585e+01,4.4464816204e-01,5.6457252699e+01,1.2680027906e+01,1.2573137757e-02,2.6673024066e-14,9.5822726801e+00,3.9841358025e-02,6.5783873750e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.4450000000e+03,2.6658681085e+03,3.1903824212e+03,1.0503610000e+05,9.9702445359e+04,3.1049228544e+02,1.0000000000e+00,7.2588015951e+00,7.2588015951e+00,1.0000000000e-02,0.0000000000e+00,3.1866054000e+19,1.0408235802e+20,0.0000000000e+00,1.5988508950e+20,1.1484831872e+17,2.6800442702e+20,7.7223605080e+01,4.4465371630e-01,5.7153347791e+01,1.2354504278e+01,1.2297698646e-02,2.7939872829e-14,7.2588015951e+00,4.0164898311e-02,6.5740186258e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
