t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_N2(bar),p_S2(bar),p_SO2(bar),p_H2S(bar),p_NH3(bar)
1.0624000000e+04,3.0319950917e+03,3.6245532357e+03,1.1131260000e+05,1.0633811836e+05,3.1049281055e+02,1.0000000000e+00,4.7214510851e+01,4.7214510851e+01,1.0000000000e-02,0.0000000000e+00,5.9150394134e+19,2.1379174344e+20,0.0000000000e+00,4.6894615890e+20,1.0535446366e+18,6.1496166903e+20,1.8568560206e+02,3.8257584601e+00,1.0493098058e+02,2.9590605956e+01,1.2374620852e-01,3.0876249946e-12,4.7214510851e+01,3.7842643428e-02,6.6634424319e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0886000000e+04,3.0185005331e+03,3.5903665908e+03,1.0613460000e+05,1.0242988570e+05,3.1049292724e+02,1.0000000000e+00,4.1257804510e+01,4.1257804510e+01,1.0000000000e-02,0.0000000000e+00,5.9557444612e+19,2.1338329798e+20,0.0000000000e+00,4.6895322208e+20,1.0464745795e+18,6.0173616548e+20,1.8033168413e+02,3.8258737067e+00,1.0585910089e+02,2.9266617194e+01,1.2228783684e-01,3.1556889418e-12,4.1257804510e+01,3.8085354777e-02,6.6580387081e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1096000000e+04,3.0081554127e+03,3.5640336429e+03,1.0222630000e+05,9.9412721961e+04,3.1049302077e+02,1.0000000000e+00,3.7098762838e+01,3.7098762838e+01,1.0000000000e-02,0.0000000000e+00,5.9865164487e+19,2.1307446291e+20,0.0000000000e+00,4.6895846941e+20,1.0412217830e+18,5.9258956542e+20,1.7662091396e+02,3.8259593260e+00,1.0656685482e+02,2.9008177496e+01,1.2115948046e-01,3.2102304026e-12,3.7098762838e+01,3.8267379917e-02,6.6537611752e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1264000000e+04,2.9998279222e+03,3.5435561901e+03,9.9209180000e+04,9.7141689820e+04,3.1049309560e+02,1.0000000000e+00,3.4109023202e+01,3.4109023202e+01,1.0000000000e-02,0.0000000000e+00,6.0100258382e+19,2.1283847871e+20,0.0000000000e+00,4.6896242181e+20,1.0372650288e+18,5.8606522558e+20,1.7396872477e+02,3.8260238170e+00,1.0711149788e+02,2.8801900042e+01,1.2027983450e-01,3.2539279941e-12,3.4109023202e+01,3.8405421687e-02,6.6507868247e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1532000000e+04,2.9865491328e+03,3.5116202012e+03,9.6938150000e+04,9.3525213351e+04,3.1049321496e+02,1.0000000000e+00,2.9843844377e+01,2.9843844377e+01,1.0000000000e-02,0.0000000000e+00,6.0459029492e+19,2.1247828939e+20,0.0000000000e+00,4.6896835428e+20,1.0313256461e+18,5.7684129567e+20,1.7020941496e+02,3.8261206176e+00,1.0794988272e+02,2.8470663581e+01,1.1890365647e-01,3.3244452399e-12,2.9843844377e+01,3.8614075098e-02,6.6461157794e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1961000000e+04,2.9657189000e+03,3.4626884979e+03,9.3321680000e+04,8.8127086172e+04,3.1049340603e+02,1.0000000000e+00,2.4175697140e+01,2.4175697140e+01,1.0000000000e-02,0.0000000000e+00,6.0987849696e+19,2.1194720415e+20,0.0000000000e+00,4.6897686589e+20,1.0228030434e+18,5.6476483122e+20,1.6526344132e+02,3.8262595043e+00,1.0920355857e+02,2.7941138390e+01,1.1678771532e-01,3.4383020382e-12,2.4175697140e+01,3.8916317770e-02,6.6340297034e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2304000000e+04,2.9493286739e+03,3.4258751071e+03,8.7923560000e+04,8.4180272284e+04,3.1049355880e+02,1.0000000000e+00,2.0533600081e+01,2.0533600081e+01,1.0000000000e-02,0.0000000000e+00,6.1367818789e+19,2.1156542984e+20,0.0000000000e+00,4.6898279803e+20,1.0168621913e+18,5.5714110273e+20,1.6212023926e+02,3.8263563025e+00,1.1011939469e+02,2.7525696991e+01,1.1519118932e-01,3.5289095805e-12,2.0533600081e+01,3.9128791834e-02,6.6295555729e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2579000000e+04,2.9366844464e+03,3.3978470071e+03,8.3976750000e+04,8.1184080200e+04,3.1049368128e+02,1.0000000000e+00,1.8081474931e+01,1.8081474931e+01,1.0000000000e-02,0.0000000000e+00,6.1646522955e+19,2.1128528158e+20,0.0000000000e+00,4.6898704508e+20,1.0126081992e+18,5.5208368087e+20,1.6002195892e+02,3.8264256048e+00,1.1080017511e+02,2.7199909986e+01,1.1397328893e-01,3.6009734734e-12,1.8081474931e+01,3.9281722516e-02,6.6262842078e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2799000000e+04,2.9268221925e+03,3.3762451666e+03,8.0980560000e+04,7.8949668878e+04,3.1049377926e+02,1.0000000000e+00,1.6365175364e+01,1.6365175364e+01,1.0000000000e-02,0.0000000000e+00,6.1855043061e+19,2.1107560810e+20,0.0000000000e+00,4.6899016231e+20,1.0094854412e+18,5.4858737513e+20,1.5856309105e+02,3.8264764714e+00,1.1131496139e+02,2.6943444417e+01,1.1303341705e-01,3.6584457232e-12,1.6365175364e+01,3.9394347325e-02,6.6238945822e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2975000000e+04,2.9189208704e+03,3.3594262640e+03,7.8746150000e+04,7.7162034177e+04,3.1049385765e+02,1.0000000000e+00,1.5127207361e+01,1.5127207361e+01,1.0000000000e-02,0.0000000000e+00,6.2013547432e+19,2.1091618216e+20,0.0000000000e+00,4.6899249616e+20,1.0071471923e+18,5.4609133497e+20,1.5751635485e+02,3.8265145550e+00,1.1170958791e+02,2.6740743661e+01,1.1230136170e-01,3.7043925589e-12,1.5127207361e+01,3.9478851738e-02,6.6220363115e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
