t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_S2(bar),p_H2S(bar),p_N2(bar),p_SO2(bar),p_NH3(bar)
1.0136000000e+04,3.0373641771e+03,3.6274712827e+03,1.1121610000e+05,1.1364760473e+05,1.2242305242e+04,1.0000000000e+00,4.7753441399e+01,4.7753441399e+01,1.0000000000e-02,0.0000000000e+00,5.5764357288e+19,2.0206739240e+20,0.0000000000e+00,4.6886328137e+20,1.0570356781e+18,5.8862044010e+20,1.7838537618e+02,3.8244063160e+00,9.8780808830e+01,2.7902892781e+01,1.2382685636e-01,2.9014836113e-12,4.7753441399e+01,3.7705518857e-02,6.6712594517e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0413000000e+04,3.0232999700e+03,3.5913652979e+03,1.0562260000e+05,1.0948308723e+05,1.2242260975e+04,1.0000000000e+00,4.1422598036e+01,4.1422598036e+01,1.0000000000e-02,0.0000000000e+00,5.6087696072e+19,2.0134362720e+20,0.0000000000e+00,4.6886877001e+20,1.0494523612e+18,5.7375658217e+20,1.7246474334e+02,3.8244958556e+00,9.9555426555e+01,2.7539936324e+01,1.2228656851e-01,2.9644893003e-12,4.1422598036e+01,3.7964023288e-02,6.6653297378e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0635000000e+04,3.0125322935e+03,3.5637317450e+03,1.0145830000e+05,1.0630272118e+05,1.2242225498e+04,1.0000000000e+00,3.7053161714e+01,3.7053161714e+01,1.0000000000e-02,0.0000000000e+00,5.6325803935e+19,2.0078553086e+20,0.0000000000e+00,4.6887270185e+20,1.0438526680e+18,5.6351113555e+20,1.6838563557e+02,3.8245599987e+00,1.0013446195e+02,2.7252349720e+01,1.2110218503e-01,3.0146216869e-12,3.7053161714e+01,3.8156845938e-02,6.6609811765e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0813000000e+04,3.0039180907e+03,3.5422923415e+03,9.8278050000e+04,1.0388508889e+05,1.2242197052e+04,1.0000000000e+00,3.3930958528e+01,3.3930958528e+01,1.0000000000e-02,0.0000000000e+00,5.6504246472e+19,2.0035106730e+20,0.0000000000e+00,4.6887557935e+20,1.0396441548e+18,5.5619340644e+20,1.6547317996e+02,3.8246069420e+00,1.0057400691e+02,2.7023426826e+01,1.2018075367e-01,3.0546722917e-12,3.3930958528e+01,3.8302815042e-02,6.6518003840e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1097000000e+04,2.9903227918e+03,3.5088396238e+03,9.5860510000e+04,1.0005021164e+05,1.2242151667e+04,1.0000000000e+00,2.9494224906e+01,2.9494224906e+01,1.0000000000e-02,0.0000000000e+00,5.6772103810e+19,1.9967538917e+20,0.0000000000e+00,4.6887978086e+20,1.0333264198e+18,5.4580154060e+20,1.6133769395e+02,3.8246754855e+00,1.0124355454e+02,2.6656500591e+01,1.1873843100e-01,3.1193455027e-12,2.9494224906e+01,3.8523577036e-02,6.6469218733e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1552000000e+04,2.9687841590e+03,3.4576867703e+03,9.2025700000e+04,9.4356774749e+04,1.2242078955e+04,1.0000000000e+00,2.3651565439e+01,2.3651565439e+01,1.0000000000e-02,0.0000000000e+00,5.7152209713e+19,1.9864349041e+20,0.0000000000e+00,4.6888544045e+20,1.0242937808e+18,5.3209364526e+20,1.5588495578e+02,3.8247678172e+00,1.0221984394e+02,2.6072253227e+01,1.1652536298e-01,3.2234370659e-12,2.3651565439e+01,3.8842393231e-02,6.6399648171e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1916000000e+04,2.9520401702e+03,3.4194181171e+03,8.6332530000e+04,9.0188485642e+04,1.2242020785e+04,1.0000000000e+00,1.9944668921e+01,1.9944668921e+01,1.0000000000e-02,0.0000000000e+00,5.7409841524e+19,1.9786624617e+20,0.0000000000e+00,4.6888900971e+20,1.0180451691e+18,5.2333993328e+20,1.5240654267e+02,3.8248260473e+00,1.0290592056e+02,2.5616263033e+01,1.1486411131e-01,3.3056167185e-12,1.9944668921e+01,3.9064907006e-02,6.6354374518e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2207000000e+04,2.9391495824e+03,3.3903203998e+03,8.2164410000e+04,8.7029227430e+04,1.2241974282e+04,1.0000000000e+00,1.7466809025e+01,1.7466809025e+01,1.0000000000e-02,0.0000000000e+00,5.7589605298e+19,1.9727203369e+20,0.0000000000e+00,4.6889133461e+20,1.0135878798e+18,5.1744071682e+20,1.5006488324e+02,3.8248639769e+00,1.0340031004e+02,2.5259301258e+01,1.1359894435e-01,3.3707117616e-12,1.7466809025e+01,3.9224473875e-02,6.6319480997e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2440000000e+04,2.9289011394e+03,3.3679798745e+03,7.9005270000e+04,8.4722880559e+04,1.2241937047e+04,1.0000000000e+00,1.5746667723e+01,1.5746667723e+01,1.0000000000e-02,0.0000000000e+00,5.7717727592e+19,1.9681265514e+20,0.0000000000e+00,4.6889288542e+20,1.0103350678e+18,5.1330834536e+20,1.4842648498e+02,3.8248892776e+00,1.0376295589e+02,2.4979345521e+01,1.1262656719e-01,3.4222965884e-12,1.5746667723e+01,3.9341295935e-02,6.6296957451e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2626000000e+04,2.9210159996e+03,3.3506880765e+03,7.6699130000e+04,8.2867176138e+04,1.2241907323e+04,1.0000000000e+00,1.4515995054e+01,1.4515995054e+01,1.0000000000e-02,0.0000000000e+00,5.7811074492e+19,1.9645517982e+20,0.0000000000e+00,4.6889394929e+20,1.0079152968e+18,5.1032708926e+20,1.4724567690e+02,3.8249066342e+00,1.0403366909e+02,2.4759232982e+01,1.1187313931e-01,3.4632495197e-12,1.4515995054e+01,3.9428373228e-02,6.6276728213e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
