t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_S2(bar),p_N2(bar),p_SO2(bar),p_H2S(bar),p_NH3(bar)
1.2348000000e+04,3.1842252168e+03,3.6045894105e+03,8.1895950000e+04,7.7632275643e+04,5.9401126771e+02,1.0000000000e+00,4.8722515206e+01,4.8722515206e+01,1.0000000000e-02,0.0000000000e+00,5.1220125944e+19,2.2164445773e+20,0.0000000000e+00,7.7575886260e+20,4.2384655207e+18,6.5801209911e+20,2.0873894474e+02,1.5851990871e+01,1.1193721601e+02,3.1713051152e+01,5.1417150412e-01,5.6381796911e-11,4.8722515206e+01,3.6698114839e-02,6.3357834298e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2667000000e+04,3.1685567399e+03,3.5708227136e+03,7.7239470000e+04,7.4193699982e+04,5.9401153953e+02,1.0000000000e+00,4.2610164386e+01,4.2610164386e+01,1.0000000000e-02,0.0000000000e+00,5.1535703601e+19,2.2132547613e+20,0.0000000000e+00,7.7578201086e+20,4.2152521722e+18,6.4506941388e+20,2.0316000455e+02,1.5852936916e+01,1.1284334583e+02,3.1345406481e+01,5.0815093894e-01,5.7576218251e-11,4.2610164386e+01,3.6888769622e-02,6.3290135950e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2922000000e+04,3.1562961974e+03,3.5450228692e+03,7.3800890000e+04,7.1595798166e+04,5.9401175681e+02,1.0000000000e+00,3.8378926730e+01,3.8378926730e+01,1.0000000000e-02,0.0000000000e+00,5.1772752017e+19,2.2108571594e+20,0.0000000000e+00,7.7579911822e+20,4.1980931605e+18,6.3618904938e+20,1.9932275932e+02,1.5853636094e+01,1.1352973289e+02,3.1056926567e+01,5.0353704225e-01,5.8525518522e-11,3.8378926730e+01,3.7030683915e-02,6.3240700677e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3126000000e+04,3.1466854629e+03,3.5251226548e+03,7.1202990000e+04,6.9624395372e+04,5.9401193063e+02,1.0000000000e+00,3.5358945953e+01,3.5358945953e+01,1.0000000000e-02,0.0000000000e+00,5.1952830149e+19,2.2090347386e+20,0.0000000000e+00,7.7581194340e+20,4.1852268911e+18,6.2989642384e+20,1.9659772992e+02,1.5854160270e+01,1.1405475778e+02,3.0829894738e+01,4.9997118597e-01,5.9280143452e-11,3.5358945953e+01,3.7137616869e-02,6.3203021574e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3292000000e+04,3.1389691368e+03,3.5094561373e+03,6.9231590000e+04,6.8087753543e+04,5.9401207207e+02,1.0000000000e+00,3.3121828389e+01,3.3121828389e+01,1.0000000000e-02,0.0000000000e+00,5.2092851571e+19,2.2076169498e+20,0.0000000000e+00,7.7582180933e+20,4.1753276659e+18,6.2526241059e+20,1.9458711349e+02,1.5854563504e+01,1.1446529167e+02,3.0648271652e+01,4.9715827203e-01,5.9888736356e-11,3.3121828389e+01,3.7220180949e-02,6.3173232617e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3557000000e+04,3.1266611382e+03,3.4848580393e+03,6.7694950000e+04,6.5715590545e+04,5.9401229786e+02,1.0000000000e+00,2.9850273281e+01,2.9850273281e+01,1.0000000000e-02,0.0000000000e+00,5.2309134200e+19,2.2054261102e+20,0.0000000000e+00,7.7583685848e+20,4.1602255328e+18,6.1853272632e+20,1.9166013816e+02,1.5855178594e+01,1.1510361656e+02,3.0358332083e+01,4.9273763417e-01,6.0869721396e-11,2.9850273281e+01,3.7346601082e-02,6.3129743548e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3981000000e+04,3.1073819412e+03,3.4470376998e+03,6.5322790000e+04,6.2122045236e+04,5.9401265915e+02,1.0000000000e+00,2.5350888744e+01,2.5350888744e+01,1.0000000000e-02,0.0000000000e+00,5.2632976991e+19,2.2021429607e+20,0.0000000000e+00,7.7585893831e+20,4.1380613471e+18,6.0938353666e+20,1.8766348352e+02,1.5856081063e+01,1.1606970688e+02,2.9900880252e+01,4.8592658523e-01,6.2442741225e-11,2.5350888744e+01,3.7533065688e-02,6.3063054415e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.4320000000e+04,3.0923467863e+03,3.4184788254e+03,6.1729250000e+04,5.9486947199e+04,5.9401294798e+02,1.0000000000e+00,2.2345778508e+01,2.2345778508e+01,1.0000000000e-02,0.0000000000e+00,5.2870107461e+19,2.1997360231e+20,0.0000000000e+00,7.7587474224e+20,4.1221904578e+18,6.0335518864e+20,1.8501535652e+02,1.5856727034e+01,1.1678568793e+02,2.9546387871e+01,4.8077517355e-01,6.3685081783e-11,2.2345778508e+01,3.7667184553e-02,6.3016579590e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.4592000000e+04,3.0806956426e+03,3.3966252100e+03,5.9094160000e+04,5.7497682925e+04,5.9401317978e+02,1.0000000000e+00,2.0255667395e+01,2.0255667395e+01,1.0000000000e-02,0.0000000000e+00,5.3047122850e+19,2.1979373481e+20,0.0000000000e+00,7.7588632945e+20,4.1105497978e+18,5.9920934030e+20,1.8318501935e+02,1.5857200658e+01,1.1732528046e+02,2.9270041256e+01,4.7682958078e-01,6.4669186452e-11,2.0255667395e+01,3.7765826677e-02,6.2981248515e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.4809000000e+04,3.0715156727e+03,3.3797345271e+03,5.7104900000e+04,5.5992353685e+04,5.9401336466e+02,1.0000000000e+00,1.8755896585e+01,1.8755896585e+01,1.0000000000e-02,0.0000000000e+00,5.3181332274e+19,2.1965725416e+20,0.0000000000e+00,7.7589499091e+20,4.1018458613e+18,5.9626210851e+20,1.8187814196e+02,1.5857554698e+01,1.1773747695e+02,2.9053436745e+01,4.7377697677e-01,6.5450915772e-11,1.8755896585e+01,3.7839711524e-02,6.2954705526e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
