t(yr),T_surf(K),T_pot(K),phi(vol_frac),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),mmw(kg/mol),p_surf(bar),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar),fO2_liquid(bar),fO2_solid(bar),R_trans(m),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),thick_surf_bl(m)
7.5580000000e+03,2.5768884046e+03,2.6089073303e+03,9.9786347411e-01,0.0000000000e+00,6.6461501721e+19,2.0552418470e+20,0.0000000000e+00,4.6904399727e+20,9.5593571001e+17,5.2322713741e+20,4.1466495425e-02,1.4579158047e+02,3.8456460604e+00,1.2510742903e+02,1.6689502993e-01,8.0968989065e-02,7.9713604006e-12,1.6590641357e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.6689502993e-01,0.0000000000e+00,6.5788307589e+06,3.1940450000e+04,2.5485017915e+04,3.3927940179e+02,1.0000000000e-02
9.0130000000e+03,2.5153765489e+03,2.5464758391e+03,9.9444040368e-01,0.0000000000e+00,6.6564426220e+19,2.0541858068e+20,0.0000000000e+00,4.6903931485e+20,9.6060566758e+17,5.2459066808e+20,4.1565203968e-02,1.4601800178e+02,3.8762568583e+00,1.2623107059e+02,1.0041904224e-01,7.8933312548e-02,8.9016201571e-12,1.5731321977e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0041904224e-01,0.0000000000e+00,6.5687215649e+06,2.5258830000e+04,2.0065845183e+04,3.3928010993e+02,1.0000000000e-02
1.0770000000e+04,2.4551390159e+03,2.4852235292e+03,9.8899835892e-01,0.0000000000e+00,6.6533481659e+19,2.0544630722e+20,0.0000000000e+00,4.6902998604e+20,9.6991943070e+17,5.2632278995e+20,4.1656587400e-02,1.4635552743e+02,3.9250417493e+00,1.2739091167e+02,5.9500366241e-02,7.7276854649e-02,1.0082258726e-11,1.4902796795e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.9500366241e-02,0.0000000000e+00,6.5585070185e+06,1.9839660000e+04,1.5708245210e+04,3.3928096502e+02,1.0000000000e-02
1.2902000000e+04,2.3960901603e+03,2.4250823780e+03,9.8111240736e-01,0.0000000000e+00,6.6345036388e+19,2.0563086907e+20,0.0000000000e+00,4.6901494637e+20,9.8494076532e+17,5.2847702212e+20,4.1740628550e-02,1.4681605292e+02,3.9964568298e+00,1.2860366036e+02,3.4680563964e-02,7.6046109236e-02,1.1608830496e-11,1.4105209061e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.4680563964e-02,0.0000000000e+00,6.5485835941e+06,1.5482060000e+04,1.2210249355e+04,3.3928200263e+02,1.0000000000e-02
1.5503000000e+04,2.3382396576e+03,2.3660827845e+03,9.7027753671e-01,0.0000000000e+00,6.5969701371e+19,2.0600149163e+20,0.0000000000e+00,4.6899274222e+20,1.0071223511e+18,5.3112912167e+20,4.1816740275e-02,1.4741846496e+02,4.0965016341e+00,1.2988688571e+02,1.9878953740e-02,7.5310269312e-02,1.3623482575e-11,1.3339888394e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9878953740e-02,0.0000000000e+00,6.5387688708e+06,1.1984060000e+04,9.4230211455e+03,3.3928326846e+02,1.0000000000e-02
1.8705000000e+04,2.2814821092e+03,2.3081377314e+03,9.5582513567e-01,0.0000000000e+00,6.5367944920e+19,2.0659747734e+20,0.0000000000e+00,4.6896119119e+20,1.0386451671e+18,5.3439434074e+20,4.1883962092e-02,1.4819254841e+02,4.2341327263e+00,1.3126538635e+02,1.1189627203e-02,7.5172654618e-02,1.6356685430e-11,1.2606667049e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1189627203e-02,0.0000000000e+00,6.5290476560e+06,9.1968340000e+03,7.2106449178e+03,3.3928482683e+02,1.0000000000e-02
2.2682000000e+04,2.2259163297e+03,2.2513670238e+03,9.3683644809e-01,0.0000000000e+00,6.4482673641e+19,2.0747561852e+20,0.0000000000e+00,4.6891684500e+20,1.0829555117e+18,5.3844089136e+20,4.1940211045e-02,1.4918298838e+02,4.4233685700e+00,1.3276917828e+02,6.1887739937e-03,7.5813172391e-02,2.0190038633e-11,1.1908439588e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.1887739937e-03,0.0000000000e+00,6.5195558681e+06,6.9844560000e+03,5.4702590088e+03,3.3928676236e+02,1.0000000000e-02
2.7668000000e+04,2.1714438389e+03,2.1956864857e+03,9.1149994427e-01,0.0000000000e+00,6.3200773003e+19,2.0874862574e+20,0.0000000000e+00,4.6885260118e+20,1.1471529022e+18,5.4361715775e+20,4.1981538364e-02,1.5048270074e+02,4.6929726510e+00,1.3446149599e+02,3.3583640242e-03,7.7615949345e-02,2.5888000175e-11,1.1247257785e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3583640242e-03,0.0000000000e+00,6.5101386438e+06,5.2440690000e+03,4.0968387099e+03,3.3928918892e+02,1.0000000000e-02
3.4079000000e+04,2.1180474073e+03,2.1410928270e+03,8.7888563409e-01,0.0000000000e+00,6.1444438293e+19,2.1049358349e+20,0.0000000000e+00,4.6876043364e+20,1.2392579217e+18,5.5018899915e+20,4.2003419430e-02,1.5216142460e+02,5.0753421762e+00,1.3638016926e+02,1.7868481687e-03,8.0963554878e-02,3.4754143571e-11,1.0623162763e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7868481687e-03,0.0000000000e+00,6.5010147818e+06,3.8706470000e+03,3.0278517018e+03,3.3929230904e+02,1.0000000000e-02
4.1850000000e+04,2.0657142569e+03,2.0875851251e+03,8.4674791617e-01,0.0000000000e+00,5.9661836351e+19,2.1226246392e+20,0.0000000000e+00,4.6865812410e+20,1.3414866826e+18,5.5687109238e+20,4.2016519898e-02,1.5386923875e+02,5.4988291653e+00,1.3827040276e+02,9.3153213816e-04,8.4570973719e-02,4.7104146357e-11,1.0014504317e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.3153213816e-04,0.0000000000e+00,6.4919370251e+06,2.8016580000e+03,2.2398627251e+03,3.3929609103e+02,1.0000000000e-02
5.1850000000e+04,2.0186850727e+03,2.0409090007e+03,8.1546915172e-01,0.0000000000e+00,5.7864591379e+19,2.1404213821e+20,0.0000000000e+00,4.6854553140e+20,1.4539683333e+18,5.6352248477e+20,4.2015182951e-02,1.5557528658e+02,5.9627177501e+00,1.4004740031e+02,5.0346617593e-04,8.8649576691e-02,6.3560003366e-11,9.4760154751e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0346617593e-04,0.0000000000e+00,6.4841342989e+06,2.0136670000e+03,1.6963424895e+03,3.3930095781e+02,1.0000000000e-02
6.1850000000e+04,1.9809284637e+03,2.0109544275e+03,7.9214846580e-01,0.0000000000e+00,5.6503076823e+19,2.1538615718e+20,0.0000000000e+00,4.6845230706e+20,1.5470738329e+18,5.6866182253e+20,4.2011728982e-02,1.5688857846e+02,6.3465855322e+00,1.4140797363e+02,3.0053476849e-04,9.1754429615e-02,8.0850750412e-11,9.0419643260e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0053476849e-04,0.0000000000e+00,6.4778140909e+06,1.4701430000e+03,1.3642373577e+03,3.3930582463e+02,1.0000000000e-02
7.1851000000e+04,1.9696135679e+03,1.9998079219e+03,7.7386183677e-01,0.0000000000e+00,5.5359198917e+19,2.1651259729e+20,0.0000000000e+00,4.6837153406e+20,1.6277215766e+18,5.7248458225e+20,4.1980372302e-02,1.5789305663e+02,6.6732507480e+00,1.4218797518e+02,2.5645315825e-04,9.5658871934e-02,9.2887105322e-11,8.9359153766e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.5645315825e-04,0.0000000000e+00,6.4759960624e+06,1.1380350000e+03,1.2517934005e+03,3.3931069189e+02,1.0000000000e-02
8.1852000000e+04,1.9593003997e+03,1.9896756685e+03,7.5733015532e-01,0.0000000000e+00,5.4315254455e+19,2.1753912425e+20,0.0000000000e+00,4.6829312493e+20,1.7059997673e+18,5.7600701685e+20,4.1949226704e-02,1.5881713470e+02,6.9897520985e+00,1.4288949947e+02,2.2156510541e-04,9.9415374361e-02,1.0557456837e-10,8.8382461973e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.2156510541e-04,0.0000000000e+00,6.4743103372e+06,1.0255880000e+03,1.1571113184e+03,3.3931555918e+02,1.0000000000e-02
9.1853000000e+04,1.9498859779e+03,1.9804655736e+03,7.4228405986e-01,0.0000000000e+00,5.3356566280e+19,2.1848041391e+20,0.0000000000e+00,4.6821687619e+20,1.7821120617e+18,5.7927086911e+20,4.1918303285e-02,1.5967211967e+02,7.2969464612e+00,1.4352355653e+02,1.9360695761e-04,1.0304151811e-01,1.1886992142e-10,8.7483815499e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9360695761e-04,0.0000000000e+00,6.4729399514e+06,9.3090230000e+02,1.0772053108e+03,3.3932042647e+02,1.0000000000e-02
1.0185400000e+05,1.9412712743e+03,1.9720408382e+03,7.2849528551e-01,0.0000000000e+00,5.2470604566e+19,2.1934899315e+20,0.0000000000e+00,4.6814254583e+20,1.8563006386e+18,5.8231262663e+20,4.1887586872e-02,1.6046784780e+02,7.5958431093e+00,1.4409962162e+02,1.7092309000e-04,1.0655504912e-01,1.3274359690e-10,8.6656570956e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7092309000e-04,0.0000000000e+00,6.4717857141e+06,8.5099310000e+02,1.0093485257e+03,3.3932529376e+02,1.0000000000e-02
1.1185500000e+05,1.9333387113e+03,1.9642836670e+03,7.1577672000e-01,0.0000000000e+00,5.1647063645e+19,2.2015516562e+20,0.0000000000e+00,4.6806989796e+20,1.9288015195e+18,5.8516350822e+20,4.1857090036e-02,1.6121265807e+02,7.8874314132e+00,1.4462605119e+02,1.5223829732e-04,1.0996973938e-01,1.4718777177e-10,8.5890534862e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.5223829732e-04,0.0000000000e+00,6.4707064971e+06,7.8313310000e+02,9.5067707461e+02,3.3933016105e+02,1.0000000000e-02
1.2185600000e+05,1.9259963404e+03,1.9571039115e+03,7.0398571933e-01,0.0000000000e+00,5.0878081116e+19,2.2090679288e+20,0.0000000000e+00,4.6799877502e+20,1.9997724054e+18,5.8784721598e+20,4.1826836314e-02,1.6191288512e+02,8.1723800439e+00,1.4510930876e+02,1.3664865129e-04,1.1329501017e-01,1.6218864963e-10,8.5177646613e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.3664865129e-04,0.0000000000e+00,6.4696993935e+06,7.2445840000e+02,8.9966118041e+02,3.3933502834e+02,1.0000000000e-02
1.3185700000e+05,1.9191673153e+03,1.9504263602e+03,6.9300324153e-01,0.0000000000e+00,5.0156997642e+19,2.2161053350e+20,0.0000000000e+00,4.6792902482e+20,2.0693656159e+18,5.9038395893e+20,4.1796832960e-02,1.6257392477e+02,8.4513312034e+00,1.4555481796e+02,1.2349042902e-04,1.1653968461e-01,1.7773772149e-10,8.4511124286e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.2349042902e-04,0.0000000000e+00,6.4687349873e+06,6.7343920000e+02,8.5491086763e+02,3.3933989559e+02,1.0000000000e-02
1.4185800000e+05,1.9127889464e+03,1.9441896677e+03,6.8273121037e-01,0.0000000000e+00,4.9478310310e+19,2.2227188989e+20,0.0000000000e+00,4.6786051897e+20,2.1377096298e+18,5.9279044346e+20,4.1767082691e-02,1.6320023773e+02,8.7248270369e+00,1.4596704431e+02,1.1227143771e-04,1.1971122120e-01,1.9382688985e-10,8.3885428925e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1227143771e-04,0.0000000000e+00,6.4678004112e+06,6.2868570000e+02,8.1544885378e+02,3.3934476288e+02,1.0000000000e-02
1.5186000000e+05,1.9068088120e+03,1.9383425391e+03,6.7308737700e-01,0.0000000000e+00,4.8837351197e+19,2.2289552785e+20,0.0000000000e+00,4.6779314087e+20,2.2049211367e+18,5.9508088428e+20,4.1737582036e-02,1.6379561774e+02,8.9933587173e+00,1.4634974843e+02,1.0261893827e-04,1.2281632289e-01,2.1045020900e-10,8.3295916572e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0261893827e-04,0.0000000000e+00,6.4669284098e+06,5.8922040000e+02,7.8028503003e+02,3.3934963065e+02,1.0000000000e-02
1.6186100000e+05,1.9011845965e+03,1.9328435683e+03,6.6400545757e-01,0.0000000000e+00,4.8230352318e+19,2.2348521818e+20,0.0000000000e+00,4.6772680876e+20,2.2710820331e+18,5.9726667152e+20,4.1708334241e-02,1.6436310880e+02,9.2572753372e+00,1.4670599486e+02,9.4249120613e-05,1.2585990217e-01,2.2759728282e-10,8.2738844599e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.4249120613e-05,0.0000000000e+00,6.4661790718e+06,5.5405330000e+02,7.4871918789e+02,3.3935449794e+02,1.0000000000e-02
