# z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
2.831006334975636564e+05,6.914327703212738152e-01,1.389975506249126965e+03,1.191578798383213789e-02,4.012879191704754045e-01,2.743970459191276134e-01,3.832017223094832167e-03,2.330211768910908556e-11,1.441826701310592192e-12
2.807411877267959062e+05,7.397776856547908508e-01,1.406212953395569457e+03,1.284273754576435722e-02,4.292521345745135553e-01,2.936766607590484135e-01,4.006152751879720614e-03,2.105988268547195192e-11,2.524908982932445794e-12
2.783817419560281560e+05,7.909267572649134603e-01,1.422434710505091289e+03,1.382665840974684444e-02,4.588351565939694510e-01,3.140777588813258303e-01,4.187183356379355417e-03,1.912936065128064397e-11,4.362540370048922079e-12
2.760222961852604058e+05,8.450114339255742069e-01,1.438641568542544974e+03,1.487029021821489536e-02,4.901128000346000047e-01,3.356529804271967121e-01,4.375363220662074719e-03,1.745997572373402758e-11,7.440651221352245889e-12
2.736628504144926555e+05,9.021679744935143797e-01,1.454834281256644317e+03,1.597647493853582984e-02,5.231636519062218271e-01,3.584568938637885394e-01,4.570953756424344164e-03,1.601047694376244800e-11,1.253331207746433182e-11
2.713034046437249053e+05,9.625375792704992106e-01,1.471013567622696655e+03,1.714815965248806320e-02,5.580691471355434530e-01,3.825460486414945516e-01,4.774223805366871465e-03,1.474704351753304965e-11,2.085929024877682142e-11
2.689439588729571551e+05,1.026266523905339456e+00,1.487180114089191193e+03,1.838839939936819101e-02,5.949136457429705649e-01,4.079790288692570766e-01,4.985449845785683981e-03,1.364180768988905865e-11,3.431607986277135325e-11
2.665845131021894049e+05,1.093506295869690170e+00,1.503334576647469703e+03,1.970036007352530052e-02,6.337845115027939125e-01,4.348165080215208866e-01,5.204916203352148892e-03,1.267169659828228057e-11,5.582605576195882365e-11
2.632186996595723904e+05,1.195813228600469236e+00,1.526359676417403307e+03,2.170254677653167541e-02,6.929214630978952627e-01,4.756563859874174405e-01,5.532832617431931652e-03,1.148441755176553891e-11,1.097082897567743231e-10
2.598528862169553759e+05,1.306059498878566316e+00,1.549363186147483475e+03,2.386731329786754077e-02,7.566404228696812506e-01,5.196727699975263182e-01,5.878992491869970520e-03,1.048859149683766297e-11,2.111327924189631883e-10
2.564870727743383904e+05,1.424743459155041192e+00,1.572346732652913033e+03,2.620509616937098316e-02,8.252287721225370909e-01,5.670652808785459076e-01,6.244309576632930611e-03,9.649094248880335981e-12,3.983053055315245122e-10
2.531212593317213759e+05,1.552387945497537336e+00,1.595311849746413600e+03,2.872685256230411363e-02,8.989880029817634011e-01,6.180433545962736863e-01,6.629734610993202187e-03,8.938302465410566453e-12,7.372646056092651901e-10
2.497554458891043614e+05,1.689541180433377088e+00,1.618259985892802661e+03,3.144407944585098785e-02,9.782342387311936394e-01,6.728266041804205067e-01,7.036256727423259930e-03,8.334327445381983757e-12,1.340154611508206921e-09
