t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),viscosity(Pa.s),R_solid(m)
9307.682419747114,2910.830964008645,2905.7615190377865,1967.1701010879765,2595.0389627710165,459.9999999999999,0.9459639645361908,0.000206218918785919,0.0,1.2898204312851808e+19,2.598290684144209e+20,0.0,1.3977089867356556e+21,8.527041133452765e+19,176.8809393568146,35.44298041607264,3.4232160967284497,56.03375227082389,81.63212724684338,0.0005896033948570818,0.000206218918785919,0.014309487601163441,0.0016231405226976583,3014579.1377185336
10118.156107276678,2905.8410685901868,2900.747671571967,1963.1430763180813,2592.8105521247608,459.9999999999999,0.9418075284690501,0.00020483876650628208,0.0,1.2933603376878158e+19,2.5979366935039456e+20,0.0,1.392630215694041e+21,8.431288728531983e+19,176.69414585507107,35.631585690649175,3.497237128237698,56.33624583994578,80.8777746934403,0.0005823813653794704,0.00020483876650628208,0.014402062734934258,0.0016642105788781858,3014579.1377185336
10930.271011054516,2900.8514937882164,2895.733917685712,1958.8291498420383,2590.2586035715844,459.9999999999999,0.9375216862094842,0.00020348489990130978,0.0,1.2965862741118419e+19,2.597614099861543e+20,0.0,1.387546519220412e+21,8.339661855101382e+19,176.53347812502517,35.83072655847398,3.5727641672322377,56.632785157614784,80.14348369161588,0.0005753295989724532,0.00020348489990130978,0.014493417120913657,0.0017072449195552478,3014579.1377185336
11744.082744531333,2895.862788782504,2890.721267691566,1954.270757820581,2587.4090119478824,459.9999999999999,0.9331742048991102,0.00020213792549901626,0.0,1.2996202916846764e+19,2.5973106981042595e+20,0.0,1.3824682558860626e+21,8.251088131914246e+19,176.39003108735437,36.03600978500808,3.649851562642254,56.92475232062658,79.42329920544836,0.000568439532668329,0.00020213792549901626,0.014583961355192928,0.001751600340600983,3014579.1377185336
12559.737040132284,2890.8746147832044,2885.7096429025714,1949.6048806311221,2584.3981067407285,459.9999999999999,0.9288271863421862,0.00020078001140418905,0.0,1.302578959253268e+19,2.5970148313474004e+20,0.0,1.377404950520585e+21,8.16447939428385e+19,176.25502390820523,36.2433603115935,3.7284089052974667,57.21398082085348,78.71076379123568,0.0005616367921644605,0.00020078001140418905,0.014674178701511232,0.0017965911648312478,3014579.1377185336
13377.325095102191,2885.886695012699,2880.698458934922,1944.7571111404068,2581.161898089982,459.9999999999999,0.924422649357419,0.00019942739273173823,0.0,1.3053523461374476e+19,2.5967374926589824e+20,0.0,1.372347268719044e+21,8.080688262662424e+19,176.13626499883839,36.45685683868188,3.808492358462642,57.49889292736892,78.01113638873844,0.0005549528868220668,0.00019942739273173823,0.014763639357378745,0.0018428711659430692,3014579.1377185336
14196.893264397979,2880.8993918814235,2875.6876843009136,1939.5775671993804,2577.577917737228,459.9999999999999,0.9198781072270205,0.00019810308052865412,0.0,1.3077799091761906e+19,2.596494736355108e+20,0.0,1.367282407967532e+21,8.00096590702279e+19,176.04516838913148,36.68248182039077,3.8901933925337215,57.77708365786542,77.33217393657154,0.0005484448674486479,0.00019810308052865412,0.01485169217412856,0.001891502333339575,3014579.1377185336
15018.547921955585,2875.912962944549,2870.6783134609527,1934.3068614817075,2573.826775610505,459.9999999999999,0.9153343616821039,0.00019676797065074946,0.0,1.3101396038713344e+19,2.5962587668855937e+20,0.0,1.3622161265599083e+21,7.922822284151824e+19,175.96071421543712,36.90983176900012,3.97345472799952,58.05288751825728,76.6589610842695,0.0005419982475465264,0.00019676797065074946,0.014939523334518652,0.0019407901210569344,3014579.1377185336
15842.438794523478,2870.9266769626033,2865.6696342966056,1928.9520058624712,2569.9569342451723,459.9999999999999,0.9107907464009154,0.0001954220844840677,0.0,1.312418134789387e+19,2.5960309137937885e+20,0.0,1.357163241709598e+21,7.846471359098523e+19,175.8846632340207,37.139751686920114,4.058270782387702,58.325703634173216,75.99302351013787,0.0005356302440329321,0.0001954220844840677,0.015026978315976847,0.0019906833031763443,3014579.1377185336
16668.595653101802,2865.9406233021277,2860.661261234832,1923.425962440303,2565.8552638497254,459.9999999999999,0.9061716016653427,0.00019408609873608428,0.0,1.3144691912846606e+19,2.595825808144261e+20,0.0,1.3521123037390389e+21,7.773048919533676e+19,175.82745776812428,37.37776754622327,4.144730490806148,58.593329930664865,75.34140155991876,0.0005293928851042622,0.00019408609873608428,0.015113461976562702,0.002042194078052964,3014579.1377185336
17497.063329987228,2860.955265618881,2855.653446926863,1917.597056078774,2561.407727361336,459.9999999999999,0.901423794343994,0.00019277439559305028,0.0,1.3161862317611188e+19,2.5956541040966153e+20,0.0,1.3470551885851494e+21,7.703341497960574e+19,175.7966243510724,37.628023632171065,4.232902783984955,58.85411864748085,74.70906462455561,0.0005233231601896385,0.00019277439559305028,0.0151985290767173,0.002096158112908503,3014579.1377185336
18327.964269816875,2855.9706771094084,2850.64709100621,1911.6519248019786,2556.78501710825,459.9999999999999,0.896676719545584,0.00019145213164508413,0.0,1.3178168697992413e+19,2.595491040292803e+20,0.0,1.3420111164701344e+21,7.635326782954481e+19,175.77437060225117,37.88134927152322,4.322698587204358,59.11163358696858,74.08389864183069,0.000517331815021071,0.00019145213164508413,0.015283158978994932,0.0021507326170307544,3014579.1377185336
19161.434212476015,2850.9863001782783,2845.641540854995,1905.654088204324,2552.038209327623,459.9999999999999,0.8919298462438933,0.0001901193779306741,0.0,1.3193608233535668e+19,2.5953366449373705e+20,0.0,1.3369791848115895e+21,7.568971371593907e+19,175.76068908290645,38.13783075009405,4.414149539120713,59.365841324724705,73.46581167653986,0.0005114183359808546,0.0001901193779306741,0.015367350158367115,0.0022058473288173253,3014579.1377185336
19997.51658964902,2846.002130832271,2840.6368021899257,1899.6176182358981,2547.201201997438,459.9999999999999,0.8871831706359735,0.0001887763539083334,0.0,1.3208303042531525e+19,2.595189696847412e+20,0.0,1.3319438833083204e+21,7.504016521580573e+19,175.75384544418844,38.39672881692095,4.507322581743734,59.617247762960446,72.85323249432224,0.0005055659411174647,0.0001887763539083334,0.015451246989039547,0.00226142027032659,3014579.1377185336
20836.25452081859,2841.0182000668283,2835.631804659739,1893.2392930740193,2542.002040978283,459.9999999999999,0.8822583890227834,0.00018746957257818962,0.0,1.3218624135537689e+19,2.5950864859173503e+20,0.0,1.3268937702664975e+21,7.4433741742953e+19,175.78061111649168,38.67250464459798,4.602368399129327,59.860027941072076,72.26417558909104,0.0004999142322886856,0.00018746957257818962,0.015533264193057447,0.002320460163573867,3014579.1377185336
21677.696718394756,2836.0353251264714,2830.62848187669,1886.6733008726135,2536.551206794799,459.9999999999999,0.8773005727496578,0.0001861614656202418,0.0,1.3227361802849386e+19,2.5949991092442333e+20,0.0,1.3218507227639073e+21,7.384835872483554e+19,175.82103913186492,38.95458199624162,4.6991700900662075,60.098218711337694,71.68533015838622,0.000494364164553802,0.0001861614656202418,0.015614509859908088,0.0023806023967348675,3014579.1377185336
