,t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),viscosity(Pa.s),R_solid(m)
138,54276.97401125729,2312.277603949676,2300.973766349804,3424.320743041922,3799.886804604265,459.9999999999999,0.351067994052675,2.559213394763297e-05,8.184574762709054e+18,1.076015570357774e+19,2.538165106669277e+20,1.813708654343184e+20,2.3147339996692837e+20,6.91829723623904e+18,141.85645612378184,13.781581880112908,35.06761083195208,86.21531644862694,6.053311147428925,1.0095928367689424e-05,2.559213394763297e-05,0.0298802748681002,0.0233978920790344,5576479.203960584
139,54855.50670103729,2307.299381704726,2295.988540615682,3409.3220380758366,3785.143183768135,459.9999999999999,0.3476154251278641,2.48925621029017e-05,8.234391739328435e+18,1.071778600704249e+19,2.5380936417698955e+20,1.824386927426025e+20,2.3002770429687955e+20,6.92959738814015e+18,142.12907327012658,13.88862721260246,35.55638050907199,85.93129208654587,6.012763315501627,1.0033626674768283e-05,2.48925621029017e-05,0.0299315603711291,0.0240090985527329,5584870.301028276
140,55436.57024271786,2302.263751997315,2290.947032500477,3394.220141922423,3770.258008329851,459.9999999999999,0.3442013050906498,2.4189648797486332e-05,8.285338267665658e+18,1.0674866000025977e+19,2.538016467284614e+20,1.835281257320821e+20,2.285621581489217e+20,6.940731235370143e+18,142.40309758163406,13.995621758182054,36.05086024611834,85.64303344275244,5.972188034361419,9.974211595644306e-06,2.4189648797486332e-05,0.0299832798195164,0.0246368086567399,5593382.849541958
141,55955.82723528147,2297.783707221306,2286.466053533477,3379.4102189334926,3755.6547247221406,459.9999999999999,0.3411638675652346,2.358302154503414e-05,8.331118943202277e+18,1.0630073220208165e+19,2.53800906834838e+20,1.845055374415174e+20,2.272435963271803e+20,6.958665325372319e+18,142.66443969949117,14.106937560695997,36.49797575136463,85.37495433705494,5.941978062232886,9.93902357222388e-06,2.358302154503414e-05,0.0300274788304641,0.0252030347783697,5600977.068759351
142,56535.3493366465,2292.8054363207634,2281.478141059404,3366.602322697284,3743.0685954550618,459.9999999999999,0.3377886363787141,2.2933872326590908e-05,8.382549597660549e+18,1.059410297578904e+19,2.537857687072221e+20,1.8560022395581107e+20,2.257857876784072e+20,6.962610650736002e+18,142.9332554788838,14.202543329805083,37.013070024486375,85.07863061099881,5.894947903046907,9.853351793629126e-06,2.2933872326590908e-05,0.0300831745890105,0.0258405716289066,5609439.189160805
143,57117.400929406285,2287.8244550625445,2276.492612088649,3352.820308618411,3729.512746491164,459.9999999999999,0.3344982762336725,2.229107181630292e-05,8.434808972315529e+18,1.055305063236518e+19,2.5377488596992708e+20,1.8670956319950743e+20,2.2430939994872404e+20,6.97172612626649e+18,143.2107102660456,14.30738747583832,37.52860511666331,84.77672822130701,5.852492217142346,9.784068672947167e-06,2.229107181630292e-05,0.0301371056068583,0.0264869981176998,5617967.839618152
144,57701.67495352775,2282.78537401003,2271.4499015981537,3339.225484381752,3716.10980506782,459.9999999999999,0.3312821572727935,2.165639752467245e-05,8.488303742225345e+18,1.051226641651132e+19,2.537625138649285e+20,1.878419151063239e+20,2.2281292839234696e+20,6.980088618683862e+18,143.4923080355291,14.41242433142685,38.05774418628096,84.46643446113687,5.808738950472885,9.71052927902043e-06,2.165639752467245e-05,0.030192502939336,0.0271494263732403,5626625.849410652
145,58223.44332382083,2278.303670257744,2266.9707771061903,3325.02474810209,3702.1537598658592,459.9999999999999,0.3284217761309634,2.109144689159606e-05,8.536366623683279e+18,1.046755128663828e+19,2.5375942946575525e+20,1.888574475616849e+20,2.214660113232692e+20,6.996843185874015e+18,143.75614786719706,14.522371802330406,38.52221116186811,84.18544098918737,5.777928784802308,9.67455733183768e-06,2.109144689159606e-05,0.0302380821435258,0.0277455830526431,5634347.72687184
146,58805.55271696299,2273.3247361850767,2261.984750386833,3313.325038964543,3690.665791642697,459.9999999999999,0.3252440450904835,2.0501402548033622e-05,8.589442315432401e+18,1.0433326918787891e+19,2.537409205609537e+20,1.899751047601085e+20,2.1999784535663903e+20,6.998905187079951e+18,144.0314080656669,14.61655789567858,39.06692730290413,83.86917812674754,5.729015082034336,9.579445906558204e-06,2.0501402548033622e-05,0.0302965882300052,0.0284155473768878,5642804.461768561
147,59390.125021636486,2268.342429595069,2257.0001808119896,3298.973867004948,3676.5438231789567,459.9999999999999,0.3220641615906852,1.99145841480384e-05,8.63680944893946e+18,1.039323394075394e+19,2.537339446515286e+20,1.9097020829739303e+20,2.186397512040541e+20,7.014915493653153e+18,144.32950605023046,14.736791604465015,39.60726722611653,83.5428920378228,5.691390902816952,9.523357330551386e-06,1.99145841480384e-05,0.0303501744069709,0.0290941934202885,5650290.558091715
148,59976.77328796685,2263.3426191310245,2251.995445559988,3286.478051284867,3664.267734439239,459.9999999999999,0.3190666402141013,1.934212926742196e-05,8.685087836643389e+18,1.0361210950806045e+19,2.5371800094003488e+20,1.9198124123355723e+20,2.1727760415871985e+20,7.020804837795699e+18,144.6142383006218,14.838639761056658,40.16170185308788,83.21552932528952,5.645678882068299,9.439776747564755e-06,1.934212926742196e-05,0.0304080466493893,0.0297833260432965,5657858.544098161
149,60563.443793326616,2258.3213808764044,2246.969108185616,3274.377606295953,3652.380705271531,459.9999999999999,0.3160684227789202,1.878488270261788e-05,8.734140296837368e+18,1.0329519722744777e+19,2.5370096153494385e+20,1.930051203367736e+20,2.159059511823398e+20,7.026328422092695e+18,144.9033536618901,14.941210779646704,40.72922329348203,82.87959252092374,5.599083716387076,9.35168135303543e-06,1.878488270261788e-05,0.0304671700400541,0.0304832803711362,5665484.29555793
150,61089.213960021734,2253.8379642640803,2242.485919763973,3261.607698945242,3639.809813353864,459.9999999999999,0.3133913425101475,1.828661408567141e-05,8.778401025655683e+18,1.0293341887077482e+19,2.5369313118550127e+20,1.939268958808632e+20,2.146662233856052e+20,7.039997928573179e+18,145.17366659366166,15.048543781011716,41.229112734739154,82.57550641604662,5.564947895703188,9.300480517122165e-06,1.828661408567141e-05,0.0305163736117668,0.0311146884880365,5672314.747009443
151,61675.56384913623,2248.857319297168,2237.485840715061,3249.0269164367987,3627.477634536271,459.9999999999999,0.3101487259207005,1.776550872590685e-05,8.828134773438944e+18,1.0257110139824409e+19,2.5367995734424496e+20,1.9495961931448182e+20,2.1328644822562213e+20,7.051413360915665e+18,145.47807986838058,15.164075694474148,41.809957673219536,82.22467299752645,5.522274454028054,9.221103637196391e-06,1.776550872590685e-05,0.030574656394344,0.0320267938010333,5679926.754793277
152,62264.192322961986,2243.977287723508,2232.5871022026167,3234.510708775112,3613.1651800161135,459.9999999999999,0.3068678337997496,1.7267512606967896e-05,8.877426268735269e+18,1.0211541738716496e+19,2.536765505843597e+20,1.959810726005997e+20,2.11908233758404e+20,7.074555077009375e+18,145.80009033959553,15.301835871901448,42.3831767542173,81.86766915799006,5.488861736710947,9.16966507058394e-06,1.7267512606967896e-05,0.0306283649631786,0.0330257571193894,5687409.5960183535
153,62867.29136539996,2238.9631711273864,2227.5525884558874,3220.210010593378,3599.190639895196,459.9999999999999,0.3037030400529703,1.6766431200810177e-05,8.928905883323109e+18,1.016695683925318e+19,2.5366999754559468e+20,1.9704533932655352e+20,2.1048487411210355e+20,7.095105043349513e+18,146.1270143046631,15.437513215814691,42.9792533493188,81.49806230012139,5.452121341151809,9.108792388142858e-06,1.6766431200810177e-05,0.0306849833654248,0.0340763622858402,5695160.367827028
154,63408.55235105008,2234.459483919298,2223.036477863166,3205.403981355311,3584.624904370948,459.9999999999999,0.3008604174612602,1.632180540177567e-05,8.975654142526292e+18,1.0118428300952306e+19,2.5367205181117635e+20,1.9801044381783943e+20,2.0918996824144622e+20,7.123786509472578e+18,146.43835307839095,15.579842747423674,43.51283688084224,81.15769410494049,5.426622979377255,9.079553369898089e-06,1.632180540177567e-05,0.030732364115662,0.0350408597179533,5702145.732679916
155,64009.46107388288,2229.482336960523,2218.0377532821885,3192.841301442251,3572.291435498164,459.9999999999999,0.2977189580895106,1.5853369951308607e-05,9.027920223598964e+18,1.0078955215467086e+19,2.5365961275451847e+20,1.9908631147688654e+20,2.077677172584695e+20,7.138191253422671e+18,146.76010744095615,15.705114472545834,44.1273813739182,80.77984318280602,5.384824557404829,8.998183533772474e-06,1.5853369951308607e-05,0.0307922210302765,0.0361296484024165,5709890.020619935
156,64613.12892597169,2224.502030728096,2213.040517117553,3178.8561315202805,3558.5595256977977,459.9999999999999,0.2945755046577304,1.5386386958576142e-05,9.080837768548828e+18,1.0033213490399085e+19,2.5365278859261457e+20,2.001729660612228e+20,2.063289515895897e+20,7.159467199094691e+18,147.09172531028082,15.843351154609726,44.73747936046124,80.39778644983724,5.348636781547757,8.9378626661674e-06,1.5386386958576142e-05,0.0308492678418747,0.0372432191237705,5717665.176947193
157,65219.18387913704,2219.5239954878466,2208.046994413198,3164.109133901956,3544.056356623312,459.9999999999999,0.2914334846233792,1.4936217450649896e-05,9.129387619311142e+18,9.98769402141137e+18,2.536500830070753e+20,2.0116790439610093e+20,2.049776315133657e+20,7.186989006595467e+18,147.4393726233634,15.996167904126615,45.358445227289415,80.0028387066638,5.31593587319051,8.886121563821754e-06,1.4936217450649896e-05,0.0309053171298268,0.0383806905544562,5724739.364389734
158,65827.91294988245,2214.5454361902816,2203.04672694723,3150.988592082583,3531.196278900683,459.9999999999999,0.288445201540109,1.4518292007585549e-05,9.176103604161976e+18,9.94965010766984e+18,2.536417393812834e+20,2.0212278749572104e+20,2.036715454595326e+20,7.209559682454097e+18,147.792590333281,16.144002285803776,46.01390965324149,79.58995963586152,5.277107186325577,8.805396407328156e-06,1.4518292007585549e-05,0.0309661402804461,0.03954294946844,5731488.083059271
159,66439.26357798278,2209.502436411064,2197.977674295157,3139.722316654083,3520.173132326093,459.9999999999999,0.2854853440004311,1.41242831849466e-05,9.224099252958128e+18,9.91762189625865e+18,2.5362612995710792e+20,2.0310059856957607e+20,2.023501805752274e+20,7.225635921005069e+18,148.1519950901363,16.28454572336411,46.712382946784444,79.15499130804373,5.230693628306435,8.692257162190948e-06,1.41242831849466e-05,0.0310330140734752,0.0407451093475966,5738359.536385177
160,66984.78766026348,2205.0185374652588,2193.475521215871,3128.7714677393665,3509.435797308419,459.9999999999999,0.2828536361513473,1.3789906499115834e-05,9.267276842348073e+18,9.88440998117114e+18,2.536164547193465e+20,2.039780167362719e+20,2.011622833035979e+20,7.246736566610896e+18,148.49093817986014,16.42617821209776,47.34939473456781,78.75164093725222,5.192773666369493,8.598504512505758e-06,1.3789906499115834e-05,0.0310918101144603,0.0418347127967395,5744490.841049211
