t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),viscosity(Pa.s),R_solid(m)
65843.96018371731,2314.4204396826294,2303.822234088496,3149.5032487161943,3524.7515986257404,459.9999999999999,0.3526033079864246,2.5896396555733828e-05,3.1656328184864543e+18,4.5299535280415703e+18,1.2868880932843286e+20,2.7350379514479467e+20,3.072023303398836e+20,1.448601496447203e+19,85.99077360485641,23.854407427076527,14.638261122321715,36.317949316252744,10.561268529145998,1.2909871315274468e-05,2.5896396555733828e-05,0.024760602078317095,0.023137730157293982,5572874.746072715
66473.5378306508,2309.438664706128,2298.827614536702,3138.0182415268573,3514.1861566265907,459.9999999999999,0.3490658433247399,2.51836056205153e-05,3.186507984201264e+18,4.5167809290398925e+18,1.2868125439671337e+20,2.7490975997876188e+20,3.045916502975195e+20,1.4430717709004157e+19,86.09972720304125,23.93511398314277,14.857380774296887,36.240200014675075,10.446322762783417,1.2738423645280192e-05,2.51836056205153e-05,0.024830754286798044,0.02374529148577823,5581261.419485299
67105.41868627816,2304.4075868216773,2293.782623855157,3127.112850635913,3504.0200491239375,459.9999999999999,0.3456548093901347,2.448703534587522e-05,3.207847529409522e+18,4.5040995164643164e+18,1.2867275096125065e+20,2.7633863078718187e+20,3.019708240093131e+20,1.4372935331640648e+19,86.20905163001105,24.01484466147194,15.083917445596247,36.15906644535192,10.328638166876445,1.2558598849307065e-05,2.448703534587522e-05,0.024903058120243154,0.02436842662923333,5589755.716121634
67670.59853751957,2299.914273818383,2289.2807264058038,3116.477559447664,3493.5383676354827,459.9999999999999,0.3426083761038583,2.387621413910732e-05,3.227114907917237e+18,4.4893017726876877e+18,1.2866840257805402e+20,2.776229012710409e+20,2.9961675971618924e+20,1.4338910456518275e+19,86.33072554430318,24.109211379852024,15.285448977683304,36.077551258217014,10.234376871342487,1.2421734205805653e-05,2.387621413910732e-05,0.02496222714256957,0.024932856392870465,5597363.039143453
68299.51071304083,2294.9315256597556,2284.282417922467,3107.0757861439997,3484.390800209916,459.9999999999999,0.3392301093691687,2.3213395577289247e-05,3.248739075468766e+18,4.4790474130585354e+18,1.2865719218718438e+20,2.7905512189803338e+20,2.970396002751955e+20,1.4269900777718335e+19,86.4233972867395,24.170251124846416,15.517960635507738,35.99696095572818,10.112129385634363,1.2231587389855546e-05,2.3213395577289247e-05,0.0250382417333646,0.025567237706111665,5605822.284864692
68930.60038032383,2289.946150040278,2279.284134321402,3097.1431268887127,3474.653032726048,459.9999999999999,0.33585241667633975,2.256119430157837e-05,3.2706885047800684e+18,4.4661148706819277e+18,1.2864833404466504e+20,2.805003485651514e+20,2.94445886219537e+20,1.4213521087234277e+19,86.53294776126232,24.247124623791343,15.750483739151871,35.909231698445495,9.9981431954256,1.2060196516310225e-05,2.256119430157837e-05,0.025110345901385292,0.026210617541474707,5614330.042245128
69563.54132144898,2284.930956894859,2274.258261830137,3087.334185100764,3465.065678068211,459.9999999999999,0.332651543818897,2.1921825050817683e-05,3.2930999581352827e+18,4.453718602190881e+18,1.2863848365062049e+20,2.8196702233765973e+20,2.918460993413562e+20,1.4153851577639526e+19,86.63983606320129,24.31999199486627,15.988661662404931,35.81930796841484,9.881995646677622,1.1883200248658624e-05,2.1921825050817683e-05,0.025184336347963982,0.026866344996596393,5622936.298913621
70131.46246674657,2280.4198773141234,2269.7418047628876,3077.191508474462,3455.112273104694,459.9999999999999,0.32977241398898494,2.1356263682123106e-05,3.313483540954815e+18,4.4391225491311493e+18,1.2863282696443829e+20,2.8329459317771718e+20,2.89498399413379e+20,1.4117618711677039e+19,86.75974124129714,24.408837556014877,16.201579041993003,35.7296122137615,9.788238112602196,1.1747688774736984e-05,2.1356263682123106e-05,0.025245345573934885,0.02746327030618661,5630699.049130749
70760.93611615896,2275.4364919785967,2264.7454650197965,3068.6272145243156,3446.7416618776597,459.9999999999999,0.3265918419958131,2.0755411448604212e-05,3.336277943749631e+18,4.429376281088901e+18,1.2861995127507553e+20,2.8476927400513762e+20,2.8693862622857727e+20,1.4045819506968588e+19,86.85103876240014,24.463737451510795,16.44892441379812,35.6392152885838,9.665661685942345,1.1552475157074225e-05,2.0755411448604212e-05,0.02532417777793283,0.02813039877369135,5639298.362000337
71392.50843802094,2270.450016860127,2259.750122490736,3058.0929567243884,3436.4185371149806,459.9999999999999,0.32340929799437124,2.0156567399121256e-05,3.3571917737560786e+18,4.4158519713649295e+18,1.2861271183501484e+20,2.861148190477128e+20,2.8448572408181044e+20,1.400221606376512e+19,86.97914874466072,24.555363671797185,16.690748107584668,35.536719592438885,9.561013209103576,1.1399641822143544e-05,2.0156567399121256e-05,0.025393345361094395,0.028806115454121126,5647116.975788566
