pressure[Pa] solidus[K] liquidus[K]
2.9722e+10 2.8103e+03 3.0532e+03
2.9787e+10 2.8128e+03 3.0554e+03
2.9852e+10 2.8153e+03 3.0576e+03
2.9917e+10 2.8178e+03 3.0598e+03
2.9982e+10 2.8202e+03 3.0620e+03
3.0048e+10 2.8226e+03 3.0670e+03
3.0113e+10 2.8250e+03 3.0704e+03
3.0178e+10 2.8274e+03 3.0738e+03
3.0243e+10 2.8298e+03 3.0771e+03
3.0308e+10 2.8321e+03 3.0805e+03
3.0373e+10 2.8344e+03 3.0839e+03
3.0439e+10 2.8368e+03 3.0873e+03
3.0504e+10 2.8390e+03 3.0906e+03
3.0569e+10 2.8413e+03 3.0940e+03
3.0634e+10 2.8436e+03 3.0974e+03
3.0699e+10 2.8458e+03 3.1007e+03
3.0765e+10 2.8481e+03 3.1041e+03
3.0830e+10 2.8503e+03 3.1074e+03
3.0895e+10 2.8525e+03 3.1108e+03
3.0960e+10 2.8546e+03 3.1141e+03
3.1025e+10 2.8568e+03 3.1174e+03
3.1090e+10 2.8590e+03 3.1208e+03
3.1156e+10 2.8611e+03 3.1241e+03
3.1221e+10 2.8632e+03 3.1274e+03
3.1286e+10 2.8653e+03 3.1308e+03
3.1351e+10 2.8674e+03 3.1341e+03
3.1416e+10 2.8695e+03 3.1374e+03
3.1482e+10 2.8716e+03 3.1407e+03
3.1547e+10 2.8736e+03 3.1440e+03
3.1612e+10 2.8757e+03 3.1473e+03
3.1677e+10 2.8777e+03 3.1506e+03
3.1742e+10 2.8797e+03 3.1539e+03
3.1807e+10 2.8817e+03 3.1572e+03
3.1873e+10 2.8837e+03 3.1605e+03
3.1938e+10 2.8857e+03 3.1637e+03
3.2003e+10 2.8877e+03 3.1670e+03
3.2068e+10 2.8896e+03 3.1703e+03
3.2133e+10 2.8916e+03 3.1736e+03
3.2198e+10 2.8935e+03 3.1768e+03
3.2264e+10 2.8954e+03 3.1801e+03
