pressure[Pa] solidus[K] liquidus[K]
1.680000000000000000e+11 4.758675621080159544e+03 5.223279481254426173e+03
1.690000000000000000e+11 4.774630946911011961e+03 5.240846275214683374e+03
1.700000000000000000e+11 4.790586272399877089e+03 5.258413267829258075e+03
1.710000000000000000e+11 4.806541597335207371e+03 5.275980459926444382e+03
1.720000000000000000e+11 4.822496921743267194e+03 5.293547851471276772e+03
1.730000000000000000e+11 4.838452245838141607e+03 5.311115441208483389e+03
1.740000000000000000e+11 4.854407570023251537e+03 5.328683228891719409e+03
1.750000000000000000e+11 4.870362894864342707e+03 5.346251214383029037e+03
1.760000000000000000e+11 4.886318220720831960e+03 5.363819397567391206e+03
1.770000000000000000e+11 4.902273547953437628e+03 5.381387778186860487e+03
1.780000000000000000e+11 4.918228876280797522e+03 5.398956355866954254e+03
1.790000000000000000e+11 4.934184205270680650e+03 5.416525129911328804e+03
1.800000000000000000e+11 4.950139534709924192e+03 5.434094098594293428e+03
1.810000000000000000e+11 4.966094863965040531e+03 5.451663261052387497e+03
1.820000000000000000e+11 4.982050192210359455e+03 5.469232617217065126e+03
1.830000000000000000e+11 4.998005519345578250e+03 5.486802167250761158e+03
1.840000000000000000e+11 5.013960845593052909e+03 5.504371911189888124e+03
1.850000000000000000e+11 5.029916170549144226e+03 5.521941848959222625e+03
1.860000000000000000e+11 5.045871493870699851e+03 5.539511980268865045e+03
1.870000000000000000e+11 5.061826814824054964e+03 5.557082304116199339e+03
1.880000000000000000e+11 5.077782132488588104e+03 5.574652819908068523e+03
1.890000000000000000e+11 5.093737446551696848e+03 5.592223527523628036e+03
1.900000000000000000e+11 5.109692757693231215e+03 5.609794426770428800e+03
1.910000000000000000e+11 5.125648066803802976e+03 5.627365517309529423e+03
1.920000000000000000e+11 5.141603375064699321e+03 5.644936798666819413e+03
1.930000000000000000e+11 5.157558683686692348e+03 5.662508270269350760e+03
1.940000000000000000e+11 5.173513994163461575e+03 5.680079930771973522e+03
1.950000000000000000e+11 5.189469307745079277e+03 5.697651779423274093e+03
1.960000000000000000e+11 5.205424625154369096e+03 5.715223816227793577e+03
1.970000000000000000e+11 5.221379946850901433e+03 5.732796041092318774e+03
1.980000000000000000e+11 5.237335273201618293e+03 5.750368453807703190e+03
1.990000000000000000e+11 5.253290603342185932e+03 5.767941054061078830e+03
2.000000000000000000e+11 5.269245936223464923e+03 5.785513841739437339e+03
2.010000000000000000e+11 5.285201270877999377e+03 5.803086816760308466e+03
2.020000000000000000e+11 5.301156606614369593e+03 5.820659979459455826e+03
2.030000000000000000e+11 5.317111942769050984e+03 5.838233329654709451e+03
2.040000000000000000e+11 5.333067278627737323e+03 5.855806865101854783e+03
2.050000000000000000e+11 5.349022613393106440e+03 5.873380584756429926e+03
2.060000000000000000e+11 5.364977946394528772e+03 5.890954487486835205e+03
2.070000000000000000e+11 5.380933277442415601e+03 5.908528572020508363e+03
2.080000000000000000e+11 5.396888606578307190e+03 5.926102837807477044e+03
2.090000000000000000e+11 5.412843933127971468e+03 5.943677286182500211e+03
2.100000000000000000e+11 5.428799257525329267e+03 5.961251918166206451e+03
2.110000000000000000e+11 5.444754580209189953e+03 5.978826734677800232e+03
2.120000000000000000e+11 5.460709901580164114e+03 5.996401736744048321e+03
2.130000000000000000e+11 5.476665222117611847e+03 6.013976924014639735e+03
2.140000000000000000e+11 5.492620542262499839e+03 6.031552296008077064e+03
2.150000000000000000e+11 5.508575862582793889e+03 6.049127852509776858e+03
2.160000000000000000e+11 5.524531183686453915e+03 6.066703592928204671e+03
2.170000000000000000e+11 5.540486505751236109e+03 6.084279516475593482e+03
2.180000000000000000e+11 5.556441828930564043e+03 6.101855622174530254e+03
2.190000000000000000e+11 5.572397153427305966e+03 6.119431908848660896e+03
2.200000000000000000e+11 5.588352479019673410e+03 6.137008375448413972e+03
2.210000000000000000e+11 5.604307804666018455e+03 6.154585021584952301e+03
2.220000000000000000e+11 5.620263130086452293e+03 6.172161847373285127e+03
2.230000000000000000e+11 5.636218454992352235e+03 6.189738852156725443e+03
2.240000000000000000e+11 5.652173779046815071e+03 6.207316035838236530e+03
2.250000000000000000e+11 5.668129102108843654e+03 6.224893398273257844e+03
2.260000000000000000e+11 5.684084424556625891e+03 6.242470939160999478e+03
2.270000000000000000e+11 5.700039746642077262e+03 6.260048657996026122e+03
2.280000000000000000e+11 5.715995068614972297e+03 6.277626554255226438e+03
2.290000000000000000e+11 5.731950390738327769e+03 6.295204628059075731e+03
2.300000000000000000e+11 5.747905713291645952e+03 6.312782879592971767e+03
2.310000000000000000e+11 5.763861036574954596e+03 6.330361308720956004e+03
2.320000000000000000e+11 5.779816360633079967e+03 6.347939914583144855e+03
2.330000000000000000e+11 5.795771684737720534e+03 6.365518695974407819e+03
2.340000000000000000e+11 5.811727008789486717e+03 6.383097651940740434e+03
2.350000000000000000e+11 5.827682332959325322e+03 6.400676781907714940e+03
2.360000000000000000e+11 5.843637657248940741e+03 6.418256086245045481e+03
2.370000000000000000e+11 5.859592981607609545e+03 6.435835565461758051e+03
2.380000000000000000e+11 5.875548305983610589e+03 6.453415220081091320e+03
2.390000000000000000e+11 5.891503630323693869e+03 6.470995050284170247e+03
2.400000000000000000e+11 5.907458954574462950e+03 6.488575056107752971e+03
2.410000000000000000e+11 5.923414278684144847e+03 6.506155237372826377e+03
2.420000000000000000e+11 5.939369602602713712e+03 6.523735592983915012e+03
2.430000000000000000e+11 5.955324926284086359e+03 6.541316122013170570e+03
2.440000000000000000e+11 5.971280249768386057e+03 6.558896823615583344e+03
2.450000000000000000e+11 5.987235572985394356e+03 6.576477696917488174e+03
2.460000000000000000e+11 6.003190896111054826e+03 6.594058740961850162e+03
2.470000000000000000e+11 6.019146219317461146e+03 6.611639954552707422e+03
2.480000000000000000e+11 6.035101542748981046e+03 6.629221336591679574e+03
2.490000000000000000e+11 6.051056866523877034e+03 6.646802887313913743e+03
2.500000000000000000e+11 6.067012190733452371e+03 6.664384607422465706e+03
2.510000000000000000e+11 6.082967515442516742e+03 6.681966497182108469e+03
2.520000000000000000e+11 6.098922840691498095e+03 6.699548556528235167e+03
2.530000000000000000e+11 6.114878166481877997e+03 6.717130785734659185e+03
2.540000000000000000e+11 6.130833492737842789e+03 6.734713184791650747e+03
