pressure[Pa]             solidus[K]               liquidus[K]
6.409090909143434143e+10 3.498807141894354572e+03 4.321206865132609892e+03
6.272727272780807495e+10 3.469677605297959417e+03 4.292905970641531894e+03
6.136363636418182373e+10 3.440262619218957752e+03 4.264038156985114256e+03
6.000000000055555725e+10 3.410544000012107972e+03 4.234576000012003533e+03
5.863636363692929077e+10 3.380502642886068770e+03 4.204491046542771073e+03
5.727272727330302429e+10 3.350118521903409601e+03 4.173753814369920292e+03
5.590909090967675781e+10 3.319370689980595671e+03 4.142333792257880305e+03
5.454545454605050659e+10 3.288237278888000219e+03 4.110199439943009565e+03
5.318181818242424011e+10 3.256695499249896784e+03 4.077318188133594504e+03
5.181818181879797363e+10 3.224721640544465572e+03 4.043656438509848613e+03
5.045454545517172241e+10 3.192291071103788454e+03 4.009179563723914725e+03
4.909090909154545593e+10 3.159378238113849420e+03 3.973851907399861375e+03
4.772727272791918945e+10 3.125956667614539583e+03 3.937636784133690981e+03
4.636363636429292297e+10 3.091998964499649446e+03 3.900496479493327570e+03
4.500000000066665649e+10 3.057476812516877089e+03 3.862392250018628602e+03
4.363636363704040527e+10 3.022360974267820438e+03 3.823284323221375871e+03
4.227272727341413879e+10 2.986621291207982267e+03 3.783131897585281422e+03
4.090909090978787231e+10 2.950226683646768379e+03 3.741893142565984363e+03
3.954545454616162109e+10 2.913145150747490334e+03 3.699525198591054505e+03
3.818181818253535461e+10 2.875343770527359084e+03 3.655984177059986905e+03
3.681818181890908813e+10 2.836788699857492247e+03 3.611225160344204141e+03
3.545454545528282166e+10 2.797445174462910472e+03 3.565202201787060858e+03
3.409090909165655518e+10 2.757277508922536526e+03 3.517868325703836490e+03
3.272727272803030396e+10 2.716249096669197115e+03 3.469175527381740721e+03
3.136363636440403748e+10 2.674322409989622429e+03 3.419074773079908482e+03
3.000000000077777100e+10 2.631459000024447960e+03 3.367516000029407223e+03
2.863636363715151978e+10 2.587619496768208592e+03 3.314448116433229188e+03
2.727272727352525330e+10 2.542763609069346785e+03 3.259819001466295958e+03
2.590909090989898682e+10 2.496850124630206210e+03 3.203575505275457544e+03
2.454545454627272034e+10 2.449836910007034021e+03 3.145663448979490568e+03
2.318181818264645386e+10 2.401680910609981311e+03 3.086027624669103261e+03
2.181818181902020264e+10 2.352338150703104020e+03 3.024611795406928650e+03
2.045454545539393616e+10 2.301763733404359755e+03 2.961358695227527278e+03
1.909090909176766968e+10 2.249911840685607331e+03 2.896210029137392212e+03
1.772727272814141846e+10 2.196735733372615869e+03 2.829106473114942219e+03
1.636363636451515198e+10 2.142187751145050242e+03 2.759987674110522676e+03
